Date, Open , High , Low , Close , Adj Close ,Volume
01/02/2020," 17,131.60 "," 17,164.60 "," 17,043.50 "," 17,100.00 "," 17,100.00 ",156213500
01/03/2020," 17,054.80 "," 17,105.70 "," 17,033.20 "," 17,066.10 "," 17,066.10 ",185492100
01/06/2020," 17,042.30 "," 17,105.50 "," 17,041.20 "," 17,105.50 "," 17,105.50 ",195351800
01/07/2020," 17,119.60 "," 17,178.00 "," 17,110.30 "," 17,168.10 "," 17,168.10 ",171935800
01/08/2020," 17,172.70 "," 17,229.90 "," 17,164.60 "," 17,167.80 "," 17,167.80 ",246980100
01/09/2020," 17,205.90 "," 17,255.50 "," 17,201.30 "," 17,235.60 "," 17,235.60 ",222501200
01/10/2020," 17,223.20 "," 17,254.10 "," 17,187.20 "," 17,234.50 "," 17,234.50 ",192514100
01/13/2020," 17,237.60 "," 17,301.80 "," 17,198.90 "," 17,293.40 "," 17,293.40 ",268086800
01/14/2020," 17,288.60 "," 17,356.50 "," 17,281.30 "," 17,352.90 "," 17,352.90 ",235495600
01/15/2020," 17,364.80 "," 17,421.70 "," 17,345.10 "," 17,415.20 "," 17,415.20 ",207645200
01/16/2020," 17,443.50 "," 17,489.60 "," 17,438.50 "," 17,484.80 "," 17,484.80 ",261420600
01/17/2020," 17,507.70 "," 17,572.20 "," 17,502.40 "," 17,559.00 "," 17,559.00 ",224673300
01/20/2020," 17,548.10 "," 17,620.20 "," 17,538.40 "," 17,597.40 "," 17,597.40 ",111821100
01/21/2020," 17,551.50 "," 17,589.50 "," 17,536.30 "," 17,572.30 "," 17,572.30 ",241563100
01/22/2020," 17,570.30 "," 17,666.50 "," 17,558.00 "," 17,599.90 "," 17,599.90 ",213329700
01/23/2020," 17,564.80 "," 17,621.80 "," 17,540.80 "," 17,621.80 "," 17,621.80 ",330914300
01/24/2020," 17,629.40 "," 17,646.40 "," 17,514.70 "," 17,565.30 "," 17,565.30 ",193689100
01/27/2020," 17,376.80 "," 17,466.10 "," 17,360.00 "," 17,442.50 "," 17,442.50 ",203774000
01/28/2020," 17,475.00 "," 17,519.00 "," 17,456.10 "," 17,500.90 "," 17,500.90 ",198139800
01/29/2020," 17,547.50 "," 17,561.90 "," 17,496.70 "," 17,511.80 "," 17,511.80 ",169412800
01/30/2020," 17,429.60 "," 17,502.90 "," 17,395.90 "," 17,490.60 "," 17,490.60 ",191070300
01/31/2020," 17,442.30 "," 17,450.70 "," 17,272.70 "," 17,318.50 "," 17,318.50 ",239157000
