,date,location,new_cases,new_deaths,total_cases,total_deaths
0,2020-02-25,Afghanistan,,,1,
1,2020-02-26,Afghanistan,0.0,,1,
2,2020-02-27,Afghanistan,0.0,,1,
3,2020-02-28,Afghanistan,0.0,,1,
4,2020-02-29,Afghanistan,0.0,,1,
5,2020-03-01,Afghanistan,0.0,,1,
6,2020-03-02,Afghanistan,0.0,,1,
7,2020-03-03,Afghanistan,0.0,,1,
8,2020-03-04,Afghanistan,0.0,,1,
9,2020-03-05,Afghanistan,0.0,,1,
10,2020-03-06,Afghanistan,0.0,,1,
11,2020-03-07,Afghanistan,0.0,,1,
12,2020-03-08,Afghanistan,3.0,,4,
13,2020-03-09,Afghanistan,0.0,,4,
14,2020-03-10,Afghanistan,0.0,,4,
15,2020-03-11,Afghanistan,0.0,,4,
16,2020-03-12,Afghanistan,3.0,,7,
17,2020-03-13,Afghanistan,0.0,,7,
18,2020-03-14,Afghanistan,0.0,,7,
19,2020-03-15,Afghanistan,3.0,,10,
20,2020-03-16,Afghanistan,6.0,,16,
21,2020-03-17,Afghanistan,5.0,,21,
22,2020-03-09,Albania,,,2,
23,2020-03-10,Albania,0.0,,2,
24,2020-03-11,Albania,8.0,,10,
25,2020-03-12,Albania,0.0,,10,
26,2020-03-13,Albania,13.0,,23,
27,2020-03-14,Albania,10.0,,33,1.0
28,2020-03-15,Albania,5.0,0.0,38,1.0
29,2020-03-16,Albania,4.0,0.0,42,1.0
30,2020-03-17,Albania,9.0,0.0,51,1.0
31,2020-02-26,Algeria,,,1,
32,2020-02-27,Algeria,0.0,,1,
33,2020-02-28,Algeria,0.0,,1,
34,2020-02-29,Algeria,0.0,,1,
35,2020-03-01,Algeria,0.0,,1,
36,2020-03-02,Algeria,0.0,,1,
37,2020-03-03,Algeria,4.0,,5,
38,2020-03-04,Algeria,0.0,,5,
39,2020-03-05,Algeria,7.0,,12,
40,2020-03-06,Algeria,0.0,,12,
41,2020-03-07,Algeria,5.0,,17,
42,2020-03-08,Algeria,0.0,,17,
43,2020-03-09,Algeria,3.0,,20,
44,2020-03-10,Algeria,0.0,,20,
45,2020-03-11,Algeria,0.0,,20,
46,2020-03-12,Algeria,5.0,,25,1.0
47,2020-03-13,Algeria,0.0,0.0,25,1.0
48,2020-03-14,Algeria,1.0,1.0,26,2.0
49,2020-03-15,Algeria,11.0,1.0,37,3.0
50,2020-03-16,Algeria,12.0,0.0,49,3.0
51,2020-03-17,Algeria,11.0,1.0,60,4.0
