,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,90,AR,1572917763,80,-54.81,-68.31,39.2,10.29
1,busselton,97,AU,1572917987,45,-33.64,115.35,73.0,8.61
2,xining,100,CN,1572917988,74,36.62,101.77,37.67,2.55
3,mayo,5,CA,1572917988,72,63.59,-135.9,10.4,6.93
4,namibe,100,AO,1572917989,89,-15.19,12.15,73.04,9.53
5,nouna,1,BF,1572917989,32,12.73,-3.87,81.01,2.82
6,puerto ayora,75,AR,1572917989,43,-51.62,-69.23,50.0,35.57
7,luderitz,81,NA,1572917989,33,-26.65,15.16,71.6,3.36
8,iwaki,40,JP,1572917989,54,37.05,140.89,55.4,12.75
9,carnarvon,88,ZA,1572917897,35,-30.97,22.13,63.7,6.02
10,dikson,100,RU,1572917990,87,73.51,80.55,2.61,21.12
11,sur,27,OM,1572917990,75,22.57,59.53,78.21,11.12
12,hilo,90,US,1572917890,66,19.71,-155.08,84.2,10.29
13,cherskiy,98,RU,1572917990,84,68.75,161.3,11.84,1.21
14,kargopol,100,RU,1572917990,94,61.51,38.95,20.48,6.24
15,kudahuvadhoo,7,MV,1572917990,71,2.67,72.89,82.76,6.44
16,mys shmidta,100,RU,1572917991,89,62.06,48.62,24.58,3.51
17,kavaratti,94,IN,1572917936,81,10.57,72.64,81.3,10.18
18,lodwar,13,KE,1572917992,53,3.12,35.6,81.03,9.33
19,havre-saint-pierre,40,CA,1572917992,69,50.23,-63.6,32.0,6.93
20,liverpool,20,GB,1572917725,93,53.41,-2.98,50.0,9.17
21,avarua,100,CK,1572917992,60,-21.21,-159.78,73.4,4.7
22,ilulissat,100,GL,1572917992,62,69.22,-51.1,19.65,3.22
23,saint-philippe,90,CA,1572917992,63,45.36,-73.48,50.0,16.11
24,knysna,100,ZA,1572917993,87,-34.04,23.05,55.4,3.36
25,sioux lookout,90,US,1572917993,84,46.74,-90.88,32.0,3.36
26,necochea,30,AR,1572917993,79,-38.55,-58.74,46.74,1.5
27,arraial do cabo,90,BR,1572917993,61,-22.84,-46.65,81.0,21.92
28,lentekhi,86,GE,1572917995,37,42.79,42.72,29.98,3.06
29,kawalu,77,ID,1572917995,72,-7.38,108.21,78.64,5.39
30,mataura,100,NZ,1572917995,91,-46.19,168.86,55.0,10.0
31,bluff,0,AU,1572917995,11,-23.58,149.07,91.89,18.61
32,birin,20,NP,1572917996,93,26.89,88.07,62.6,1.12
33,mahebourg,40,MU,1572917996,88,-20.41,57.7,73.4,6.93
34,tilichiki,100,RU,1572917997,99,60.47,166.1,33.85,3.8
35,georgetown,20,GY,1572917997,100,6.8,-58.16,75.2,2.24
36,plettenberg bay,100,DE,1572917997,93,51.21,7.87,48.99,12.75
37,codrington,34,AU,1572917997,27,-28.95,153.24,78.01,21.92
38,punta arenas,75,PH,1572917997,66,14.18,121.12,88.0,6.93
39,nanortalik,100,GL,1572917998,96,60.14,-45.24,33.12,19.82
40,cape town,0,CL,1572917998,91,-36.41,-71.9,44.19,6.64
41,fort nelson,0,IN,1572917998,78,17.96,79.61,76.68,8.19
42,valle hermoso,40,IT,1572917998,72,41.02,14.64,69.01,10.29
43,bara,0,NG,1572917998,34,10.41,10.6,74.25,3.74
44,mar del plata,6,CN,1572917998,45,29.86,90.73,27.82,5.39
45,linxia,100,CN,1572917999,93,35.6,103.21,38.14,3.78
46,rikitea,100,PF,1572917999,91,-23.12,-134.97,76.05,7.76
47,qaanaaq,71,GL,1572917911,81,77.48,-69.36,9.05,5.86
48,merrill,1,US,1572918000,37,42.03,-121.6,55.4,4.7
49,srednekolymsk,0,RU,1572918000,93,67.46,153.71,6.89,6.55
50,baruun-urt,89,MN,1572918000,25,46.68,113.28,33.33,13.22
51,sile,1,US,1572918000,16,35.56,-106.37,60.8,10.29
52,sitka,0,US,1572918000,64,37.17,-99.65,44.01,10.0
53,tautira,75,PF,1572918001,83,-17.73,-149.15,82.0,10.29
54,ampanihy,25,MG,1572918001,93,-24.69,44.75,67.44,7.87
55,iralaya,2,HN,1572918002,74,15.0,-83.23,83.01,14.79
56,tongzi,100,CN,1572918002,85,28.78,105.09,59.58,4.29
57,sechura,0,PE,1572918003,90,-5.56,-80.82,63.41,9.53
58,hermanus,100,ZA,1572918003,79,-34.42,19.24,70.0,1.99
59,yellowknife,75,CA,1572918003,92,62.45,-114.38,15.01,6.93
60,tiksi,88,RU,1572918003,92,71.64,128.87,-10.2,3.13
61,kruisfontein,25,ZA,1572917917,92,-34.0,24.73,53.22,8.23
62,kapaa,75,US,1572917977,83,22.08,-159.32,82.4,13.87
63,sibolga,84,ID,1572918004,63,1.74,98.78,81.84,2.71
64,souillac,100,FR,1572918004,93,45.6,-0.6,50.0,12.75
65,faanui,89,PF,1572918004,80,-16.48,-151.75,80.73,12.68
66,new norfolk,75,LR,1572917706,94,6.65,-10.59,75.2,2.28
67,grand gaube,8,FR,1572918004,81,48.39,5.49,48.2,17.22
68,teahupoo,75,PF,1572918004,83,-17.83,-149.27,82.0,10.29
69,talnakh,75,RU,1572918004,77,69.49,88.39,1.4,17.9
70,cabo san lucas,20,ES,1572918005,66,43.18,-5.8,55.99,16.11
71,praia da vitoria,24,BR,1572918005,79,-20.25,-43.81,67.73,1.05
72,bainbridge,90,US,1572917920,82,30.9,-84.58,71.6,5.82
73,bredasdorp,100,ZA,1572918005,79,-34.53,20.04,64.0,1.99
74,grand river south east,8,FR,1572918004,81,48.39,5.49,48.2,17.22
75,san carlos de bariloche,0,ML,1572917908,34,13.3,-4.9,80.29,1.45
76,strezhevoy,75,RU,1572918006,79,60.73,77.6,21.2,15.66
77,quelimane,52,MZ,1572918007,75,-17.88,36.89,74.8,6.33
78,katsuura,40,JP,1572918007,51,33.93,134.5,60.8,12.75
79,ribeira grande,75,PT,1572918007,93,41.76,-8.56,57.99,5.82
80,pevek,100,RU,1572918008,82,69.7,170.27,10.33,4.14
81,chuy,89,UY,1572918008,95,-33.69,-53.46,58.15,7.45
82,maldonado,90,UY,1572918009,88,-34.91,-54.96,64.4,18.34
83,narrabri,40,AU,1572918009,28,-30.33,149.78,68.0,16.11
84,lompoc,1,US,1572918010,87,34.64,-120.46,62.6,9.17
85,aldan,100,RU,1572918010,94,58.61,125.39,0.09,8.28
86,bambanglipuro,78,ID,1572918011,58,-7.95,110.28,83.44,11.34
87,lao cai,1,ID,1572918011,41,-8.61,120.45,86.5,7.14
88,genhe,93,CN,1572918012,68,50.78,121.52,16.02,9.71
89,atuona,0,PF,1572918012,75,-9.8,-139.03,80.44,16.31
90,kenora,40,CA,1572918012,61,49.76,-94.48,19.4,10.29
91,bethel,40,US,1572917880,67,60.79,-161.76,19.4,21.92
92,butaritari,0,KI,1572917914,74,3.07,172.79,84.2,12.1
93,boa vista,100,CM,1572918013,94,4.43,8.97,73.96,1.07
94,yulara,0,AU,1572918013,13,-25.24,130.99,78.8,13.87
95,coihaique,98,CL,1572918014,98,-45.58,-72.07,33.28,12.5
96,isangel,75,VU,1572918014,45,-19.55,169.27,84.2,11.41
97,djibo,62,BF,1572918014,17,14.1,-1.63,83.79,7.25
98,avera,75,US,1572917914,87,33.19,-82.53,59.0,4.23
99,albany,90,US,1572917716,43,42.65,-73.75,50.0,11.41
100,upernavik,81,GL,1572918014,63,72.79,-56.15,11.62,3.53
101,guerrero negro,90,AR,1572918014,88,-24.19,-65.45,68.0,10.29
102,baiao,35,BR,1572918015,96,-2.79,-49.67,74.25,2.98
103,bambous virieux,40,MU,1572918015,88,-20.26,57.41,73.4,6.93
104,klaksvik,100,FO,1572918015,70,62.23,-6.59,35.6,9.17
105,illapel,0,CL,1572918016,59,-31.63,-71.17,48.49,2.42
106,lebu,75,ET,1572917906,71,8.96,38.73,55.4,6.93
107,hami,100,CN,1572918016,22,42.84,93.51,54.55,3.15
